,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
18,NTexasRealtor4u,Lydia Cruz,2197707140,1165747536411463680,/NTexasRealtor4u/status/1165747536411463680,2019-08-25 22:07:25,1566770845,#PuertoRico my little 35X100 island doesn’t need this.  Still so many houses with #BlueTarps #HurricaneDorian go visit Ttrump https://twitter.com/KPRC2Justin/status/1165742597136166912 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PuertoRico?src=hash""><s>#</s><b>PuertoRico</b></a> my little 35X100 island doesn’t need this.  Still so many houses with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BlueTarps?src=hash""><s>#</s><b>BlueTarps</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian?src=hash""><s>#</s><b><strong>HurricaneDorian</strong></b></a> go visit Ttrump <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/KPRC2Justin/status/1165742597136166912"" dir=""ltr"" href=""https://t.co/zMDJsPGNAW"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/KPRC2Justin/status/1165742597136166912""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/KPRC2Justin/st</span><span class=""invisible"">atus/1165742597136166912</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/KPRC2Justin/status/1165742597136166912'],"['PuertoRico', 'BlueTarps', 'HurricaneDorian']",False,[],,1,0,0,False,False,,[]
36,NTexasRealtor4u,Lydia Cruz,2197707140,1165747536411463680,/NTexasRealtor4u/status/1165747536411463680,2019-08-25 22:07:25,1566770845,#PuertoRico my little 35X100 island doesn’t need this.  Still so many houses with #BlueTarps #HurricaneDorian go visit Ttrump https://twitter.com/KPRC2Justin/status/1165742597136166912 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PuertoRico?src=hash""><s>#</s><b>PuertoRico</b></a> my little 35X100 island doesn’t need this.  Still so many houses with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BlueTarps?src=hash""><s>#</s><b>BlueTarps</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian?src=hash""><s>#</s><b><strong>HurricaneDorian</strong></b></a> go visit Ttrump <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/KPRC2Justin/status/1165742597136166912"" dir=""ltr"" href=""https://t.co/zMDJsPGNAW"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/KPRC2Justin/status/1165742597136166912""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/KPRC2Justin/st</span><span class=""invisible"">atus/1165742597136166912</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/KPRC2Justin/status/1165742597136166912'],"['PuertoRico', 'BlueTarps', 'HurricaneDorian']",False,[],,1,0,0,False,False,,[]
124,Unthinkable_636,R¤x¥,2475743209,1166029994218393605,/Unthinkable_636/status/1166029994218393605,2019-08-26 16:49:49,1566838189,Let this storm come and go in peace we the ppl of svg don't need no stress ok #hurricaneDorian,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Let this storm come and go in peace we the ppl of svg don't need no stress ok <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hurricaneDorian?src=hash""><s>#</s><b><strong>hurricaneDorian</strong></b></a></p>",[],['hurricaneDorian'],False,[],,1,0,0,False,False,,[]
134,AngieAway,𝙰𝚗𝚐𝚒𝚎 𝙾𝚛𝚝𝚑,14846535,1166010206071021575,/AngieAway/status/1166010206071021575,2019-08-26 15:31:11,1566833471,"I was REALLY hoping not to need my annual Hurricane Supplies List, but #HurricaneDorian looks to be heading this way. Stocking up today, just in case! https://buff.ly/2E5gJiP pic.twitter.com/DADG9d4Lyn","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I was REALLY hoping not to need my annual Hurricane Supplies List, but <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian?src=hash""><s>#</s><b><strong>HurricaneDorian</strong></b></a> looks to be heading this way. Stocking up today, just in case! <a class=""twitter-timeline-link"" data-expanded-url=""https://buff.ly/2E5gJiP"" dir=""ltr"" href=""https://t.co/ziHNOJ4N5e"" rel=""nofollow noopener"" target=""_blank"" title=""https://buff.ly/2E5gJiP""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">buff.ly/2E5gJiP</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/DADG9d4Lyn"">pic.twitter.com/DADG9d4Lyn</a></p>",['https://buff.ly/2E5gJiP'],['HurricaneDorian'],True,['https://pbs.twimg.com/media/EC6AGnMXkAUZFzL.jpg'],,20,4,1,True,False,,[]
157,water_mission,Water Mission,33950622,1173020783523840000,/water_mission/status/1173020783523840000,2019-09-14 23:48:43,1568504923,"After disasters like #HurricaneDorian, it is inspiring to see individuals and organizations collaborating to meet the needs of those in crisis. Today we are thrilled to have partnered with @chefjoseandres and @wckitchen as we provided safe water for their work in the Abacos.pic.twitter.com/MbVPshmLFJ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">After disasters like <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian?src=hash""><s>#</s><b><strong>HurricaneDorian</strong></b></a>, it is inspiring to see individuals and organizations collaborating to meet the needs of those in crisis. Today we are thrilled to have partnered with <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""73206956"" dir=""ltr"" href=""/chefjoseandres""><s>@</s><b>chefjoseandres</b></a> and <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""156653779"" dir=""ltr"" href=""/WCKitchen""><s>@</s><b>wckitchen</b></a> as we provided safe water for their work in the Abacos.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/MbVPshmLFJ"">pic.twitter.com/MbVPshmLFJ</a></p>",[],['HurricaneDorian'],True,['https://pbs.twimg.com/media/EEdoL0xWwAIqVUL.jpg'],,12,2,0,False,False,,[]
163,cheftrevino,Trevino,57806653,1173016704613588998,/cheftrevino/status/1173016704613588998,2019-09-14 23:32:30,1568503950,#Orlando we are doing our best to help the #Bahamas in their time of need ...  please join us . #bahamasrelief #BahamaStrong #LetsDoOurPart #DonJulioMexicanKitchen #OnlyGoodVibes #HurricaneDorian pic.twitter.com/qhs1CWHpa9 – at Don Julio Mexican Grill,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Orlando?src=hash""><s>#</s><b>Orlando</b></a> we are doing our best to help the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Bahamas?src=hash""><s>#</s><b>Bahamas</b></a> in their time of need ...  please join us . <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/bahamasrelief?src=hash""><s>#</s><b>bahamasrelief</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BahamaStrong?src=hash""><s>#</s><b>BahamaStrong</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LetsDoOurPart?src=hash""><s>#</s><b>LetsDoOurPart</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DonJulioMexicanKitchen?src=hash""><s>#</s><b>DonJulioMexicanKitchen</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/OnlyGoodVibes?src=hash""><s>#</s><b>OnlyGoodVibes</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian?src=hash""><s>#</s><b><strong>HurricaneDorian</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/qhs1CWHpa9"">pic.twitter.com/qhs1CWHpa9</a><span class=""tweet-poi-geo-text""> – at <a class=""js-nav u-textUserColorHover js-geo-pivot-link"" data-nav=""search"" data-place-id=""0fc38ff979541000"" href=""/search?q=place%3A0fc38ff979541000"">Don Julio Mexican Grill</a></span></p>",[],"['Orlando', 'Bahamas', 'bahamasrelief', 'BahamaStrong', 'LetsDoOurPart', 'DonJulioMexicanKitchen', 'OnlyGoodVibes', 'HurricaneDorian']",True,['https://pbs.twimg.com/media/EEdkeMrWkAAxiYi.jpg'],,1,2,0,False,False,,[]
175,water_mission,Water Mission,33950622,1173020783523840000,/water_mission/status/1173020783523840000,2019-09-14 23:48:43,1568504923,"After disasters like #HurricaneDorian, it is inspiring to see individuals and organizations collaborating to meet the needs of those in crisis. Today we are thrilled to have partnered with @chefjoseandres and @wckitchen as we provided safe water for their work in the Abacos.pic.twitter.com/MbVPshmLFJ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">After disasters like <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian?src=hash""><s>#</s><b><strong>HurricaneDorian</strong></b></a>, it is inspiring to see individuals and organizations collaborating to meet the needs of those in crisis. Today we are thrilled to have partnered with <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""73206956"" dir=""ltr"" href=""/chefjoseandres""><s>@</s><b>chefjoseandres</b></a> and <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""156653779"" dir=""ltr"" href=""/WCKitchen""><s>@</s><b>wckitchen</b></a> as we provided safe water for their work in the Abacos.<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/MbVPshmLFJ"">pic.twitter.com/MbVPshmLFJ</a></p>",[],['HurricaneDorian'],True,['https://pbs.twimg.com/media/EEdoL0xWwAIqVUL.jpg'],,12,2,0,False,False,,[]
181,cheftrevino,Trevino,57806653,1173016704613588998,/cheftrevino/status/1173016704613588998,2019-09-14 23:32:30,1568503950,#Orlando we are doing our best to help the #Bahamas in their time of need ...  please join us . #bahamasrelief #BahamaStrong #LetsDoOurPart #DonJulioMexicanKitchen #OnlyGoodVibes #HurricaneDorian pic.twitter.com/qhs1CWHpa9 – at Don Julio Mexican Grill,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Orlando?src=hash""><s>#</s><b>Orlando</b></a> we are doing our best to help the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Bahamas?src=hash""><s>#</s><b>Bahamas</b></a> in their time of need ...  please join us . <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/bahamasrelief?src=hash""><s>#</s><b>bahamasrelief</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BahamaStrong?src=hash""><s>#</s><b>BahamaStrong</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LetsDoOurPart?src=hash""><s>#</s><b>LetsDoOurPart</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/DonJulioMexicanKitchen?src=hash""><s>#</s><b>DonJulioMexicanKitchen</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/OnlyGoodVibes?src=hash""><s>#</s><b>OnlyGoodVibes</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian?src=hash""><s>#</s><b><strong>HurricaneDorian</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/qhs1CWHpa9"">pic.twitter.com/qhs1CWHpa9</a><span class=""tweet-poi-geo-text""> – at <a class=""js-nav u-textUserColorHover js-geo-pivot-link"" data-nav=""search"" data-place-id=""0fc38ff979541000"" href=""/search?q=place%3A0fc38ff979541000"">Don Julio Mexican Grill</a></span></p>",[],"['Orlando', 'Bahamas', 'bahamasrelief', 'BahamaStrong', 'LetsDoOurPart', 'DonJulioMexicanKitchen', 'OnlyGoodVibes', 'HurricaneDorian']",True,['https://pbs.twimg.com/media/EEdkeMrWkAAxiYi.jpg'],,1,2,0,False,False,,[]
193,dReamcenteratl,The dReam Center Church of Atlanta,28107417,1173004564297129985,/dReamcenteratl/status/1173004564297129985,2019-09-14 22:44:16,1568501056,"We’re still collecting supplies to SUPPORT our BROTHERS & SISTERS recently impacted by #HurricaneDorian in the BAHAMAS. Review the RELIEF items needed, and HELP US, HELP THEM by picking up some of the items and dropping them off at the @dReamcenteratl on tomorrow during WORSHIPpic.twitter.com/GB7ih9FjLX","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We’re still collecting supplies to SUPPORT our BROTHERS &amp; SISTERS recently impacted by <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian?src=hash""><s>#</s><b><strong>HurricaneDorian</strong></b></a> in the BAHAMAS. Review the RELIEF items needed, and HELP US, HELP THEM by picking up some of the items and dropping them off at the <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""28107417"" dir=""ltr"" href=""/dReamcenteratl""><s>@</s><b>dReamcenteratl</b></a> on tomorrow during WORSHIP<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/GB7ih9FjLX"">pic.twitter.com/GB7ih9FjLX</a></p>",[],['HurricaneDorian'],True,"['https://pbs.twimg.com/media/EEdZbt7X4AIGzV4.jpg', 'https://pbs.twimg.com/media/EEdZbt6XYAEB4Rs.jpg']",,2,1,1,True,False,,[]
196,RedCrossBloodBH,Red Cross Blood Wisconsin #GiveBloodToGiveTime,145352374,1173001980920377346,/RedCrossBloodBH/status/1173001980920377346,2019-09-14 22:34:00,1568500440,"#HurricaneDorian forced blood drive cancellations & donation center closures in impacted areas. In times like these, we call on donors across the U.S. to step up and help out to ensure blood needs can be met in storm impacted areas & around the U.S. Give: http://rcblood.org/appt pic.twitter.com/HvzVRp9cFR","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian?src=hash""><s>#</s><b><strong>HurricaneDorian</strong></b></a> forced blood drive cancellations &amp; donation center closures in impacted areas. In times like these, we call on donors across the U.S. to step up and help out to ensure blood needs can be met in storm impacted areas &amp; around the U.S. Give: <a class=""twitter-timeline-link"" data-expanded-url=""http://rcblood.org/appt"" dir=""ltr"" href=""https://t.co/lw4yIp24Gd"" rel=""nofollow noopener"" target=""_blank"" title=""http://rcblood.org/appt""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">rcblood.org/appt</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/HvzVRp9cFR"">pic.twitter.com/HvzVRp9cFR</a></p>",['http://rcblood.org/appt'],['HurricaneDorian'],True,['https://pbs.twimg.com/media/EEDisdBWsAgEWYV.jpg'],,0,0,0,False,False,,[]
204,ATCOFrontec,ATCO Frontec,14604409,1172994622991339522,/ATCOFrontec/status/1172994622991339522,2019-09-14 22:04:45,1568498685,"In the wake of #HurricaneDorian, Nick Sealy-Thompson is embedded in the Bahamas’ National Emergency Management Agency’s EOC working with government and relief agencies to coordinate logistic support and ID critical infrastructure needs.
#emergencymanagement #disasterresponsepic.twitter.com/NaNrkfi3qz","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">In the wake of <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian?src=hash""><s>#</s><b><strong>HurricaneDorian</strong></b></a>, Nick Sealy-Thompson is embedded in the Bahamas’ National Emergency Management Agency’s EOC working with government and relief agencies to coordinate logistic support and ID critical infrastructure needs.
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/emergencymanagement?src=hash""><s>#</s><b>emergencymanagement</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/disasterresponse?src=hash""><s>#</s><b>disasterresponse</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/NaNrkfi3qz"">pic.twitter.com/NaNrkfi3qz</a></p>",[],"['HurricaneDorian', 'emergencymanagement', 'disasterresponsepic']",True,"['https://pbs.twimg.com/media/EEdQZIHWkAAFJQ_.jpg', 'https://pbs.twimg.com/media/EEdQZI-XoAEfPcb.jpg', 'https://pbs.twimg.com/media/EEdQZKHW4AAHw1Y.jpg']",,3,3,0,False,False,,[]
217,KalikBahamas,KALIK,2589884958,1172981623861764100,/KalikBahamas/status/1172981623861764100,2019-09-14 21:13:06,1568495586,"We need all hands on deck for our path to recovery, united we will grow stronger. #OneBahamas #PrayforBahamas #HurricaneDorian pic.twitter.com/JmMOyrfko6","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We need all hands on deck for our path to recovery, united we will grow stronger. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/OneBahamas?src=hash""><s>#</s><b>OneBahamas</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/PrayforBahamas?src=hash""><s>#</s><b>PrayforBahamas</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian?src=hash""><s>#</s><b><strong>HurricaneDorian</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/JmMOyrfko6"">pic.twitter.com/JmMOyrfko6</a></p>",[],"['OneBahamas', 'PrayforBahamas', 'HurricaneDorian']",True,['https://pbs.twimg.com/media/EEdEki6W4AILIUb.jpg'],,2,4,0,False,False,,[]
249,BahamasConsumer,BahamasConsumerTips,838590063776784385,1172959507523108864,/BahamasConsumer/status/1172959507523108864,2019-09-14 19:45:13,1568490313,"headknowlesfoundation needs your help in their new location...

#Bahamas #TheBahamas #Hurricane #HurricaneDorian #HurricaneDorian2019 https://www.instagram.com/p/B2Z2FmMhtqN/?igshid=37qj74rbuao8 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">headknowlesfoundation needs your help in their new location...

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Bahamas?src=hash""><s>#</s><b>Bahamas</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/TheBahamas?src=hash""><s>#</s><b>TheBahamas</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Hurricane?src=hash""><s>#</s><b>Hurricane</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian?src=hash""><s>#</s><b><strong>HurricaneDorian</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian2019?src=hash""><s>#</s><b>HurricaneDorian2019</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/B2Z2FmMhtqN/?igshid=37qj74rbuao8"" dir=""ltr"" href=""https://t.co/QfeJYBLaBa"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/B2Z2FmMhtqN/?igshid=37qj74rbuao8""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/B2Z2FmMhtqN/</span><span class=""invisible"">?igshid=37qj74rbuao8</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.instagram.com/p/B2Z2FmMhtqN/?igshid=37qj74rbuao8'],"['Bahamas', 'TheBahamas', 'Hurricane', 'HurricaneDorian', 'HurricaneDorian2019']",False,[],,1,0,0,False,False,,[]
254,wyattsgarage,wyattsgarage,758381749537796097,1172956232359075841,/wyattsgarage/status/1172956232359075841,2019-09-14 19:32:12,1568489532,"Hi, my name is Sam Wyatt and I want to help the people in the Bahamas that lost everything to Hurricane Dorian. I made these hats to help those in need. 100% of the proceeds will go to a Hurricane Dorian Bahamas Relief Fund. @wyattsgarage #wyattsgarage #hurricanedorian #bahamaspic.twitter.com/ey026lOv2Y","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi, my name is Sam Wyatt and I want to help the people in the Bahamas that lost everything to Hurricane Dorian. I made these hats to help those in need. 100% of the proceeds will go to a Hurricane Dorian Bahamas Relief Fund. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""758381749537796097"" dir=""ltr"" href=""/wyattsgarage""><s>@</s><b>wyattsgarage</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/wyattsgarage?src=hash""><s>#</s><b>wyattsgarage</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hurricanedorian?src=hash""><s>#</s><b><strong>hurricanedorian</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/bahamas?src=hash""><s>#</s><b>bahamas</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ey026lOv2Y"">pic.twitter.com/ey026lOv2Y</a></p>",[],"['wyattsgarage', 'hurricanedorian', 'bahamaspic']",True,['https://pbs.twimg.com/media/EEcteg4WsAA_WnG.jpg'],,21,10,6,True,False,,[]
257,LncolnRd,LincolnRd,768857591766130688,1172955828409819136,/LncolnRd/status/1172955828409819136,2019-09-14 19:30:36,1568489436," Join @nwsymphony Fellows this Sunday, Sept. 15 from 4-6 PM at the 1111 Lincoln Road stage for a FREE, benefit concert for those needing monetary help in the Bahamas after being hit by #HurricaneDorian. #BahamasStrong #MiamiBeach #LincolnRoad #NWSFellows @miamibeachnewspic.twitter.com/qm0GV5e5sV","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><img alt=""🇧🇸"" aria-label=""Emoji: Flag of Bahamas"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1e7-1f1f8.png"" title=""Flag of Bahamas""/> Join <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16582381"" dir=""ltr"" href=""/nwsymphony""><s>@</s><b>nwsymphony</b></a> Fellows this Sunday, Sept. 15 from 4-6 PM at the 1111 Lincoln Road stage for a FREE, benefit concert for those needing monetary help in the Bahamas after being hit by <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/HurricaneDorian?src=hash""><s>#</s><b><strong>HurricaneDorian</strong></b></a>. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BahamasStrong?src=hash""><s>#</s><b>BahamasStrong</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MiamiBeach?src=hash""><s>#</s><b>MiamiBeach</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LincolnRoad?src=hash""><s>#</s><b>LincolnRoad</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NWSFellows?src=hash""><s>#</s><b>NWSFellows</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17931773"" dir=""ltr"" href=""/MiamiBeachNews""><s>@</s><b>miamibeachnews</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/qm0GV5e5sV"">pic.twitter.com/qm0GV5e5sV</a></p>",[],"['HurricaneDorian', 'BahamasStrong', 'MiamiBeach', 'LincolnRoad', 'NWSFellows']",True,['https://pbs.twimg.com/media/EEctG60XUAADiUv.jpg'],,9,5,1,True,False,,[]
