,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,UkenReport,Uken Report,964216687389130752,1199060964835856384,/UkenReport/status/1199060964835856384,2019-11-25 20:23:06,1574713386,"Valley fever cases typically peak in the fall. To that end, the @CAPublicHealth, in collaboration with local health departments, is reminding the public and healthcare providers of that fact. #ValleyFever Learn more here: https://wp.me/p9h1MF-2iA pic.twitter.com/94veNDIq5E","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Valley fever cases typically peak in the fall. To that end, the <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""33934492"" dir=""ltr"" href=""/CAPublicHealth""><s>@</s><b><strong>CAPublicHealth</strong></b></a>, in collaboration with local health departments, is reminding the public and healthcare providers of that fact. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ValleyFever?src=hash""><s>#</s><b>ValleyFever</b></a> Learn more here: <a class=""twitter-timeline-link"" data-expanded-url=""https://wp.me/p9h1MF-2iA"" dir=""ltr"" href=""https://t.co/y8jvDBiU8c"" rel=""nofollow noopener"" target=""_blank"" title=""https://wp.me/p9h1MF-2iA""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">wp.me/p9h1MF-2iA</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/94veNDIq5E"">pic.twitter.com/94veNDIq5E</a></p>",['https://wp.me/p9h1MF-2iA'],['ValleyFever'],True,['https://pbs.twimg.com/media/EKPrlzvU4AARTSw.jpg'],,0,0,0,False,False,,[]
1,WorldDengueDay,WorldDengueDay,1095026603757895680,1199040825201758208,/WorldDengueDay/status/1199040825201758208,2019-11-25 19:03:04,1574708584,Dengue is on the March handful of countries reporting dengue in 1970's with over 100 countries reporting dengue now - yet another reason why we are asking @WHO to ratify a #WorldDengueDay pls help us by signing and sharing this thank you!https://www.change.org/p/world-health-organization-make-world-dengue-day-a-reality …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Dengue is on the March handful of countries reporting dengue in 1970's with over 100 countries reporting dengue now - yet another reason why we are asking <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14499829"" dir=""ltr"" href=""/WHO""><s>@</s><b>WHO</b></a> to ratify a <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WorldDengueDay?src=hash""><s>#</s><b>WorldDengueDay</b></a> pls help us by signing and sharing this thank you!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.change.org/p/world-health-organization-make-world-dengue-day-a-reality"" dir=""ltr"" href=""https://t.co/J3ng6TPgCs"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.change.org/p/world-health-organization-make-world-dengue-day-a-reality""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">change.org/p/world-health</span><span class=""invisible"">-organization-make-world-dengue-day-a-reality</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.change.org/p/world-health-organization-make-world-dengue-day-a-reality'],['WorldDengueDay'],False,[],,0,0,0,False,True,1197924896019378176,"[{'screen_name': 'CAPublicHealth', 'user_id': '33934492'}, {'screen_name': 'SCCVCD', 'user_id': '356906124'}]"
2,CAPublicHealth,CA Public Health,33934492,1199007111679594496,/CAPublicHealth/status/1199007111679594496,2019-11-25 16:49:06,1574700546,"Per the @CDCgov: Do not eat, sell, or serve any romaine lettuce labeled as grown in #Salinas. Find out how to identify this lettuce, which is linked to an E. coli outbreak: http://go.usa.gov/xpXg8 pic.twitter.com/8IygzUyl0R","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Per the <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""146569971"" dir=""ltr"" href=""/CDCgov""><s>@</s><b>CDCgov</b></a>: Do not eat, sell, or serve any romaine lettuce labeled as grown in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Salinas?src=hash""><s>#</s><b>Salinas</b></a>. Find out how to identify this lettuce, which is linked to an E. coli outbreak: <a class=""twitter-timeline-link"" data-expanded-url=""http://go.usa.gov/xpXg8"" dir=""ltr"" href=""https://t.co/Fkmi8C4oEb"" rel=""nofollow noopener"" target=""_blank"" title=""http://go.usa.gov/xpXg8""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">go.usa.gov/xpXg8</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/8IygzUyl0R"">pic.twitter.com/8IygzUyl0R</a></p>",['http://go.usa.gov/xpXg8'],['Salinas'],True,['https://pbs.twimg.com/media/EKO6nIyVUAAcKY-.jpg'],,18,23,0,False,False,,[]
3,MarianHolling,Marian Hollingsworth,2462296142,1198990684859981824,/MarianHolling/status/1198990684859981824,2019-11-25 15:43:50,1574696630,"Even with minimum staffing laws, states like #California will allow waivers for nursing homes that claim they can’t find enough workers. @CAPublicHealth did this last Spring. Some SNFs were in big urban areas. The industry knows how to manipulate laws. https://twitter.com/mcknightsltcn/status/1198987262861729796 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Even with minimum staffing laws, states like <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/California?src=hash""><s>#</s><b>California</b></a> will allow waivers for nursing homes that claim they can’t find enough workers. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""33934492"" dir=""ltr"" href=""/CAPublicHealth""><s>@</s><b><strong>CAPublicHealth</strong></b></a> did this last Spring. Some SNFs were in big urban areas. The industry knows how to manipulate laws. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/mcknightsltcn/status/1198987262861729796"" dir=""ltr"" href=""https://t.co/SIzHyhmU0R"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/mcknightsltcn/status/1198987262861729796""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/mcknightsltcn/</span><span class=""invisible"">status/1198987262861729796</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/mcknightsltcn/status/1198987262861729796'],['California'],False,[],,1,0,0,False,False,,[]
4,CAPublicHealth,CA Public Health,33934492,1198357580734586880,/CAPublicHealth/status/1198357580734586880,2019-11-23 21:48:06,1574545686,"The @CDCgov has issued a warning not to eat, sell, or serve any romaine lettuce labeled as grown in #Salinas. Find out how to identify this lettuce, which is linked to an E. coli outbreak: https://go.usa.gov/xpXg8 pic.twitter.com/3X0u75IQ6N","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""146569971"" dir=""ltr"" href=""/CDCgov""><s>@</s><b>CDCgov</b></a> has issued a warning not to eat, sell, or serve any romaine lettuce labeled as grown in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Salinas?src=hash""><s>#</s><b>Salinas</b></a>. Find out how to identify this lettuce, which is linked to an E. coli outbreak: <a class=""twitter-timeline-link"" data-expanded-url=""https://go.usa.gov/xpXg8"" dir=""ltr"" href=""https://t.co/SYuv7Om1CO"" rel=""nofollow noopener"" target=""_blank"" title=""https://go.usa.gov/xpXg8""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">go.usa.gov/xpXg8</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/3X0u75IQ6N"">pic.twitter.com/3X0u75IQ6N</a></p>",['https://go.usa.gov/xpXg8'],['Salinas'],True,['https://pbs.twimg.com/media/EKFr2lCVUAE7RrH.jpg'],,5,6,0,False,False,,[]
5,SaludHEALTHinfo,SaludHEALTHinfo,84932964,1198357579216216064,/SaludHEALTHinfo/status/1198357579216216064,2019-11-23 21:48:05,1574545685,Marijuana and Lung Health https://www.lung.org/stop-smoking/smoking-facts/marijuana-and-lung-health.html#.Xdmon83heQ0.twitter … @LungAssociation @American_Heart @CDCHeart_Stroke @heartfoundation @SanDiegoHeart @PublicHealth @CAPublicHealth @HHSPrevention @HHSGov @SDCountyHHSA @worldheartfed,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""tl"">Marijuana and Lung Health <a class=""twitter-timeline-link"" data-expanded-url=""https://www.lung.org/stop-smoking/smoking-facts/marijuana-and-lung-health.html#.Xdmon83heQ0.twitter"" dir=""ltr"" href=""https://t.co/Yrm4enA45V"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.lung.org/stop-smoking/smoking-facts/marijuana-and-lung-health.html#.Xdmon83heQ0.twitter""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">lung.org/stop-smoking/s</span><span class=""invisible"">moking-facts/marijuana-and-lung-health.html#.Xdmon83heQ0.twitter</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17049255"" dir=""ltr"" href=""/LungAssociation""><s>@</s><b>LungAssociation</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""105242077"" dir=""ltr"" href=""/American_Heart""><s>@</s><b>American_Heart</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""979053452583227392"" dir=""ltr"" href=""/CDCHeart_Stroke""><s>@</s><b>CDCHeart_Stroke</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""163308959"" dir=""ltr"" href=""/heartfoundation""><s>@</s><b>heartfoundation</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1546665871"" dir=""ltr"" href=""/SanDiegoHeart""><s>@</s><b>SanDiegoHeart</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6794502"" dir=""ltr"" href=""/PublicHealth""><s>@</s><b>PublicHealth</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""33934492"" dir=""ltr"" href=""/CAPublicHealth""><s>@</s><b><strong>CAPublicHealth</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""738818512945176576"" dir=""ltr"" href=""/HHSPrevention""><s>@</s><b>HHSPrevention</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""44783853"" dir=""ltr"" href=""/HHSGov""><s>@</s><b>HHSGov</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""64506942"" dir=""ltr"" href=""/SDCountyHHSA""><s>@</s><b>SDCountyHHSA</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""83809282"" dir=""ltr"" href=""/worldheartfed""><s>@</s><b>worldheartfed</b></a></p>",['https://www.lung.org/stop-smoking/smoking-facts/marijuana-and-lung-health.html#.Xdmon83heQ0.twitter'],[],False,[],,0,0,0,False,False,,[]
6,CAPublicHealth,CA Public Health,33934492,1198293908092080128,/CAPublicHealth/status/1198293908092080128,2019-11-23 17:35:05,1574530505,#MondelēzGlobal #recalls Cheese Nips due to possible foreign matter contamination – plastic pieces. More information at http://bit.ly/2QHeJC0 pic.twitter.com/B4OFSCwsKa,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Mondel%C4%93zGlobal?src=hash""><s>#</s><b>MondelēzGlobal</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/recalls?src=hash""><s>#</s><b>recalls</b></a> Cheese Nips due to possible foreign matter contamination – plastic pieces. More information at <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2QHeJC0"" dir=""ltr"" href=""https://t.co/LCeoa1RE7E"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2QHeJC0""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2QHeJC0</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/B4OFSCwsKa"">pic.twitter.com/B4OFSCwsKa</a></p>",['http://bit.ly/2QHeJC0'],"['MondelēzGlobal', 'recalls']",True,['https://pbs.twimg.com/media/EKEx9Y_W4AE_BfQ.jpg'],,0,0,0,False,False,,[]
7,CAPublicHealth,CA Public Health,33934492,1198042618061443073,/CAPublicHealth/status/1198042618061443073,2019-11-23 00:56:33,1574470593,"California's #WestNilevirus map has been updated. There were two new human cases of #WNV this week, from #KingsCounty and @CountyofLA. 

To learn more about #WestNile and help us track it, visit http://westnile.ca.gov .

#CDPHpic.twitter.com/i9iS8BpXWd","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">California's <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WestNilevirus?src=hash""><s>#</s><b>WestNilevirus</b></a> map has been updated. There were two new human cases of <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WNV?src=hash""><s>#</s><b>WNV</b></a> this week, from <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/KingsCounty?src=hash""><s>#</s><b>KingsCounty</b></a> and <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""193771633"" dir=""ltr"" href=""/CountyofLA""><s>@</s><b>CountyofLA</b></a>. 

To learn more about <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WestNile?src=hash""><s>#</s><b>WestNile</b></a> and help us track it, visit <a class=""twitter-timeline-link"" data-expanded-url=""http://westnile.ca.gov"" dir=""ltr"" href=""https://t.co/BJcEwJOy9P"" rel=""nofollow noopener"" target=""_blank"" title=""http://westnile.ca.gov""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">westnile.ca.gov</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>.

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CDPH?src=hash""><s>#</s><b>CDPH</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/i9iS8BpXWd"">pic.twitter.com/i9iS8BpXWd</a></p>",['http://westnile.ca.gov'],"['WestNilevirus', 'WNV', 'KingsCounty', 'WestNile', 'CDPHpic']",True,['https://pbs.twimg.com/media/EKBNaPmUEAEozOz.jpg'],,2,5,0,False,False,,[]
8,UkenReport,Uken Report,964216687389130752,1199060964835856384,/UkenReport/status/1199060964835856384,2019-11-25 20:23:06,1574713386,"Valley fever cases typically peak in the fall. To that end, the @CAPublicHealth, in collaboration with local health departments, is reminding the public and healthcare providers of that fact. #ValleyFever Learn more here: https://wp.me/p9h1MF-2iA pic.twitter.com/94veNDIq5E","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Valley fever cases typically peak in the fall. To that end, the <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""33934492"" dir=""ltr"" href=""/CAPublicHealth""><s>@</s><b><strong>CAPublicHealth</strong></b></a>, in collaboration with local health departments, is reminding the public and healthcare providers of that fact. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ValleyFever?src=hash""><s>#</s><b>ValleyFever</b></a> Learn more here: <a class=""twitter-timeline-link"" data-expanded-url=""https://wp.me/p9h1MF-2iA"" dir=""ltr"" href=""https://t.co/y8jvDBiU8c"" rel=""nofollow noopener"" target=""_blank"" title=""https://wp.me/p9h1MF-2iA""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">wp.me/p9h1MF-2iA</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/94veNDIq5E"">pic.twitter.com/94veNDIq5E</a></p>",['https://wp.me/p9h1MF-2iA'],['ValleyFever'],True,['https://pbs.twimg.com/media/EKPrlzvU4AARTSw.jpg'],,0,0,0,False,False,,[]
9,WorldDengueDay,WorldDengueDay,1095026603757895680,1199040825201758208,/WorldDengueDay/status/1199040825201758208,2019-11-25 19:03:04,1574708584,Dengue is on the March handful of countries reporting dengue in 1970's with over 100 countries reporting dengue now - yet another reason why we are asking @WHO to ratify a #WorldDengueDay pls help us by signing and sharing this thank you!https://www.change.org/p/world-health-organization-make-world-dengue-day-a-reality …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Dengue is on the March handful of countries reporting dengue in 1970's with over 100 countries reporting dengue now - yet another reason why we are asking <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14499829"" dir=""ltr"" href=""/WHO""><s>@</s><b>WHO</b></a> to ratify a <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WorldDengueDay?src=hash""><s>#</s><b>WorldDengueDay</b></a> pls help us by signing and sharing this thank you!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.change.org/p/world-health-organization-make-world-dengue-day-a-reality"" dir=""ltr"" href=""https://t.co/J3ng6TPgCs"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.change.org/p/world-health-organization-make-world-dengue-day-a-reality""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">change.org/p/world-health</span><span class=""invisible"">-organization-make-world-dengue-day-a-reality</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.change.org/p/world-health-organization-make-world-dengue-day-a-reality'],['WorldDengueDay'],False,[],,0,0,0,False,True,1197924896019378176,"[{'screen_name': 'CAPublicHealth', 'user_id': '33934492'}, {'screen_name': 'SCCVCD', 'user_id': '356906124'}]"
10,CAPublicHealth,CA Public Health,33934492,1199007111679594496,/CAPublicHealth/status/1199007111679594496,2019-11-25 16:49:06,1574700546,"Per the @CDCgov: Do not eat, sell, or serve any romaine lettuce labeled as grown in #Salinas. Find out how to identify this lettuce, which is linked to an E. coli outbreak: http://go.usa.gov/xpXg8 pic.twitter.com/8IygzUyl0R","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Per the <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""146569971"" dir=""ltr"" href=""/CDCgov""><s>@</s><b>CDCgov</b></a>: Do not eat, sell, or serve any romaine lettuce labeled as grown in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Salinas?src=hash""><s>#</s><b>Salinas</b></a>. Find out how to identify this lettuce, which is linked to an E. coli outbreak: <a class=""twitter-timeline-link"" data-expanded-url=""http://go.usa.gov/xpXg8"" dir=""ltr"" href=""https://t.co/Fkmi8C4oEb"" rel=""nofollow noopener"" target=""_blank"" title=""http://go.usa.gov/xpXg8""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">go.usa.gov/xpXg8</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/8IygzUyl0R"">pic.twitter.com/8IygzUyl0R</a></p>",['http://go.usa.gov/xpXg8'],['Salinas'],True,['https://pbs.twimg.com/media/EKO6nIyVUAAcKY-.jpg'],,18,23,0,False,False,,[]
11,MarianHolling,Marian Hollingsworth,2462296142,1198990684859981824,/MarianHolling/status/1198990684859981824,2019-11-25 15:43:50,1574696630,"Even with minimum staffing laws, states like #California will allow waivers for nursing homes that claim they can’t find enough workers. @CAPublicHealth did this last Spring. Some SNFs were in big urban areas. The industry knows how to manipulate laws. https://twitter.com/mcknightsltcn/status/1198987262861729796 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Even with minimum staffing laws, states like <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/California?src=hash""><s>#</s><b>California</b></a> will allow waivers for nursing homes that claim they can’t find enough workers. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""33934492"" dir=""ltr"" href=""/CAPublicHealth""><s>@</s><b><strong>CAPublicHealth</strong></b></a> did this last Spring. Some SNFs were in big urban areas. The industry knows how to manipulate laws. <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/mcknightsltcn/status/1198987262861729796"" dir=""ltr"" href=""https://t.co/SIzHyhmU0R"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/mcknightsltcn/status/1198987262861729796""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/mcknightsltcn/</span><span class=""invisible"">status/1198987262861729796</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/mcknightsltcn/status/1198987262861729796'],['California'],False,[],,1,0,0,False,False,,[]
12,CAPublicHealth,CA Public Health,33934492,1198357580734586880,/CAPublicHealth/status/1198357580734586880,2019-11-23 21:48:06,1574545686,"The @CDCgov has issued a warning not to eat, sell, or serve any romaine lettuce labeled as grown in #Salinas. Find out how to identify this lettuce, which is linked to an E. coli outbreak: https://go.usa.gov/xpXg8 pic.twitter.com/3X0u75IQ6N","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""146569971"" dir=""ltr"" href=""/CDCgov""><s>@</s><b>CDCgov</b></a> has issued a warning not to eat, sell, or serve any romaine lettuce labeled as grown in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Salinas?src=hash""><s>#</s><b>Salinas</b></a>. Find out how to identify this lettuce, which is linked to an E. coli outbreak: <a class=""twitter-timeline-link"" data-expanded-url=""https://go.usa.gov/xpXg8"" dir=""ltr"" href=""https://t.co/SYuv7Om1CO"" rel=""nofollow noopener"" target=""_blank"" title=""https://go.usa.gov/xpXg8""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">go.usa.gov/xpXg8</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/3X0u75IQ6N"">pic.twitter.com/3X0u75IQ6N</a></p>",['https://go.usa.gov/xpXg8'],['Salinas'],True,['https://pbs.twimg.com/media/EKFr2lCVUAE7RrH.jpg'],,5,6,0,False,False,,[]
13,SaludHEALTHinfo,SaludHEALTHinfo,84932964,1198357579216216064,/SaludHEALTHinfo/status/1198357579216216064,2019-11-23 21:48:05,1574545685,Marijuana and Lung Health https://www.lung.org/stop-smoking/smoking-facts/marijuana-and-lung-health.html#.Xdmon83heQ0.twitter … @LungAssociation @American_Heart @CDCHeart_Stroke @heartfoundation @SanDiegoHeart @PublicHealth @CAPublicHealth @HHSPrevention @HHSGov @SDCountyHHSA @worldheartfed,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""tl"">Marijuana and Lung Health <a class=""twitter-timeline-link"" data-expanded-url=""https://www.lung.org/stop-smoking/smoking-facts/marijuana-and-lung-health.html#.Xdmon83heQ0.twitter"" dir=""ltr"" href=""https://t.co/Yrm4enA45V"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.lung.org/stop-smoking/smoking-facts/marijuana-and-lung-health.html#.Xdmon83heQ0.twitter""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">lung.org/stop-smoking/s</span><span class=""invisible"">moking-facts/marijuana-and-lung-health.html#.Xdmon83heQ0.twitter</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17049255"" dir=""ltr"" href=""/LungAssociation""><s>@</s><b>LungAssociation</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""105242077"" dir=""ltr"" href=""/American_Heart""><s>@</s><b>American_Heart</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""979053452583227392"" dir=""ltr"" href=""/CDCHeart_Stroke""><s>@</s><b>CDCHeart_Stroke</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""163308959"" dir=""ltr"" href=""/heartfoundation""><s>@</s><b>heartfoundation</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1546665871"" dir=""ltr"" href=""/SanDiegoHeart""><s>@</s><b>SanDiegoHeart</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6794502"" dir=""ltr"" href=""/PublicHealth""><s>@</s><b>PublicHealth</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""33934492"" dir=""ltr"" href=""/CAPublicHealth""><s>@</s><b><strong>CAPublicHealth</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""738818512945176576"" dir=""ltr"" href=""/HHSPrevention""><s>@</s><b>HHSPrevention</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""44783853"" dir=""ltr"" href=""/HHSGov""><s>@</s><b>HHSGov</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""64506942"" dir=""ltr"" href=""/SDCountyHHSA""><s>@</s><b>SDCountyHHSA</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""83809282"" dir=""ltr"" href=""/worldheartfed""><s>@</s><b>worldheartfed</b></a></p>",['https://www.lung.org/stop-smoking/smoking-facts/marijuana-and-lung-health.html#.Xdmon83heQ0.twitter'],[],False,[],,0,0,0,False,False,,[]
